День,Фаджр,Восход,Зухр,Аср,Магриб,Иша
1,3:46,7:14,12:57,15:21,18:48,20:18
2,3:52,7:18,12:56,15:18,18:44,20:14
3,3:57,7:22,12:56,15:15,18:40,20:10
4,4:02,7:26,12:56,15:12,18:35,20:05
5,4:07,7:30,12:55,15:09,18:30,20:00
6,4:12,7:34,12:55,15:06,18:26,19:56
7,4:17,7:36,12:55,15:03,18:22,19:52
8,4:22,7:41,12:54,15:00,18:18,19:48
9,4:27,7:45,12:54,14:57,18:13,19:43
10,4:31,7:48,12:54,14:53,18:09,19:39
11,4:36,7:52,12:54,14:50,18:04,19:34
12,4:40,7:56,12:53,14:47,18:00,19:30
13,4:45,8:00,12:53,14:44,17:55,19:25
14,4:49,8:05,12:53,14:41,17:51,19:21
15,4:53,8:09,12:53,14:38,17:46,19:16
16,4:57,8:12,12:52,14:35,17:42,19:12
17,5:02,8:16,12:52,14:32,17:37,19:07
18,5:06,8:20,12:52,14:29,17:33,19:03
19,5:10,8:24,12:52,14:26,17:29,18:59
20,5:13,8:28,12:51,14:23,17:25,18:55
21,5:17,8:32,12:51,14:20,17:20,18:50
22,5:21,8:37,12:51,14:17,17:16,18:46
23,5:25,8:41,12:51,14:14,17:11,18:41
24,5:29,8:45,12:51,14:11,17:06,18:36
25,5:32,8:49,12:51,14:08,17:02,18:32
26,5:36,8:53,12:51,14:05,16:58,18:28
27,5:40,8:58,12:51,14:02,16:54,18:24
28,5:43,9:03,12:50,13:59,16:49,18:19
29,5:47,9:08,12:50,13:56,16:44,18:14
30,5:50,9:13,12:50,13:54,16:39,18:09
31,5:54,9:17,12:50,13:51,16:35,18:05